instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual_ratio,registered_ratio
1,2011-01-01,1,0,1,0,6,0,Cloudy,0.344167,0.363625,0.805833,0.160446,331,654,985,0.33604060913705586,0.6639593908629442
2,2011-01-02,1,0,1,0,0,0,Cloudy,0.363478,0.353739,0.696087,0.248539,131,670,801,0.16354556803995007,0.83645443196005
3,2011-01-03,1,0,1,0,1,1,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0.08895478131949593,0.911045218680504
4,2011-01-04,1,0,1,0,2,1,Clear,0.2,0.212122,0.590435,0.160296,108,1454,1562,0.06914212548015365,0.9308578745198464
5,2011-01-05,1,0,1,0,3,1,Clear,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0.05125,0.94875
6,2011-01-06,1,0,1,0,4,1,Clear,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0.0547945205479452,0.9452054794520548
7,2011-01-07,1,0,1,0,5,1,Cloudy,0.196522,0.208839,0.498696,0.168726,148,1362,1510,0.09801324503311258,0.9019867549668874
8,2011-01-08,1,0,1,0,6,0,Cloudy,0.165,0.162254,0.535833,0.266804,68,891,959,0.07090719499478623,0.9290928050052137
9,2011-01-09,1,0,1,0,0,0,Clear,0.138333,0.116175,0.434167,0.36195,54,768,822,0.06569343065693431,0.9343065693430657
10,2011-01-10,1,0,1,0,1,1,Clear,0.150833,0.150888,0.482917,0.223267,41,1280,1321,0.031037093111279335,0.9689629068887207
11,2011-01-11,1,0,1,0,2,1,Cloudy,0.169091,0.191464,0.686364,0.122132,43,1220,1263,0.034045922406967535,0.9659540775930324
12,2011-01-12,1,0,1,0,3,1,Clear,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0.021514629948364887,0.9784853700516352
13,2011-01-13,1,0,1,0,4,1,Clear,0.165,0.150883,0.470417,0.301,38,1368,1406,0.02702702702702703,0.972972972972973
14,2011-01-14,1,0,1,0,5,1,Clear,0.16087,0.188413,0.537826,0.126548,54,1367,1421,0.038001407459535536,0.9619985925404645
15,2011-01-15,1,0,1,0,6,0,Cloudy,0.233333,0.248112,0.49875,0.157963,222,1026,1248,0.1778846153846154,0.8221153846153846
16,2011-01-16,1,0,1,0,0,0,Clear,0.231667,0.234217,0.48375,0.188433,251,953,1204,0.2084717607973422,0.7915282392026578
17,2011-01-17,1,0,1,1,1,0,Cloudy,0.175833,0.176771,0.5375,0.194017,117,883,1000,0.117,0.883
18,2011-01-18,1,0,1,0,2,1,Cloudy,0.216667,0.232333,0.861667,0.146775,9,674,683,0.013177159590043924,0.986822840409956
19,2011-01-19,1,0,1,0,3,1,Cloudy,0.292174,0.298422,0.741739,0.208317,78,1572,1650,0.04727272727272727,0.9527272727272728
20,2011-01-20,1,0,1,0,4,1,Cloudy,0.261667,0.25505,0.538333,0.195904,83,1844,1927,0.043072132848988066,0.956927867151012
21,2011-01-21,1,0,1,0,5,1,Clear,0.1775,0.157833,0.457083,0.353242,75,1468,1543,0.04860661049902787,0.9513933895009722
22,2011-01-22,1,0,1,0,6,0,Clear,0.0591304,0.0790696,0.4,0.17197,93,888,981,0.09480122324159021,0.9051987767584098
23,2011-01-23,1,0,1,0,0,0,Clear,0.0965217,0.0988391,0.436522,0.2466,150,836,986,0.15212981744421908,0.847870182555781
24,2011-01-24,1,0,1,0,1,1,Clear,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,0.06073446327683616,0.9392655367231638
25,2011-01-25,1,0,1,0,2,1,Cloudy,0.223478,0.234526,0.616957,0.129796,186,1799,1985,0.09370277078085643,0.9062972292191436
26,2011-01-26,1,0,1,0,3,1,Drizzling,0.2175,0.2036,0.8625,0.29385,34,472,506,0.06719367588932806,0.932806324110672
27,2011-01-27,1,0,1,0,4,1,Clear,0.195,0.2197,0.6875,0.113837,15,416,431,0.03480278422273782,0.9651972157772621
28,2011-01-28,1,0,1,0,5,1,Cloudy,0.203478,0.223317,0.793043,0.1233,38,1129,1167,0.032562125107112254,0.9674378748928878
29,2011-01-29,1,0,1,0,6,0,Clear,0.196522,0.212126,0.651739,0.145365,123,975,1098,0.11202185792349727,0.8879781420765027
30,2011-01-30,1,0,1,0,0,0,Clear,0.216522,0.250322,0.722174,0.0739826,140,956,1096,0.12773722627737227,0.8722627737226277
31,2011-01-31,1,0,1,0,1,1,Cloudy,0.180833,0.18625,0.60375,0.187192,42,1459,1501,0.02798134576948701,0.972018654230513
32,2011-02-01,1,0,2,0,2,1,Cloudy,0.192174,0.23453,0.829565,0.053213,47,1313,1360,0.03455882352941177,0.9654411764705882
33,2011-02-02,1,0,2,0,3,1,Cloudy,0.26,0.254417,0.775417,0.264308,72,1454,1526,0.047182175622542594,0.9528178243774574
34,2011-02-03,1,0,2,0,4,1,Clear,0.186957,0.177878,0.437826,0.277752,61,1489,1550,0.03935483870967742,0.9606451612903226
35,2011-02-04,1,0,2,0,5,1,Cloudy,0.211304,0.228587,0.585217,0.127839,88,1620,1708,0.05152224824355972,0.9484777517564403
36,2011-02-05,1,0,2,0,6,0,Cloudy,0.233333,0.243058,0.929167,0.161079,100,905,1005,0.09950248756218906,0.900497512437811
37,2011-02-06,1,0,2,0,0,0,Clear,0.285833,0.291671,0.568333,0.1418,354,1269,1623,0.21811460258780038,0.7818853974121996
38,2011-02-07,1,0,2,0,1,1,Clear,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,0.07009345794392523,0.9299065420560748
39,2011-02-08,1,0,2,0,2,1,Clear,0.220833,0.198246,0.537917,0.36195,64,1466,1530,0.04183006535947712,0.9581699346405229
40,2011-02-09,1,0,2,0,3,1,Cloudy,0.134783,0.144283,0.494783,0.188839,53,1552,1605,0.03302180685358255,0.9669781931464174
41,2011-02-10,1,0,2,0,4,1,Clear,0.144348,0.149548,0.437391,0.221935,47,1491,1538,0.0305591677503251,0.9694408322496749
42,2011-02-11,1,0,2,0,5,1,Clear,0.189091,0.213509,0.506364,0.10855,149,1597,1746,0.08533791523482245,0.9146620847651775
43,2011-02-12,1,0,2,0,6,0,Clear,0.2225,0.232954,0.544167,0.203367,288,1184,1472,0.1956521739130435,0.8043478260869565
44,2011-02-13,1,0,2,0,0,0,Clear,0.316522,0.324113,0.457391,0.260883,397,1192,1589,0.24984266834487098,0.750157331655129
45,2011-02-14,1,0,2,0,1,1,Clear,0.415,0.39835,0.375833,0.417908,208,1705,1913,0.10872974385781495,0.891270256142185
46,2011-02-15,1,0,2,0,2,1,Clear,0.266087,0.254274,0.314348,0.291374,140,1675,1815,0.07713498622589532,0.9228650137741047
47,2011-02-16,1,0,2,0,3,1,Clear,0.318261,0.3162,0.423478,0.251791,218,1897,2115,0.10307328605200945,0.8969267139479905
48,2011-02-17,1,0,2,0,4,1,Clear,0.435833,0.428658,0.505,0.230104,259,2216,2475,0.10464646464646464,0.8953535353535353
49,2011-02-18,1,0,2,0,5,1,Clear,0.521667,0.511983,0.516667,0.264925,579,2348,2927,0.19781346088144858,0.8021865391185514
50,2011-02-19,1,0,2,0,6,0,Clear,0.399167,0.391404,0.187917,0.507463,532,1103,1635,0.3253822629969419,0.674617737003058
51,2011-02-20,1,0,2,0,0,0,Clear,0.285217,0.27733,0.407826,0.223235,639,1173,1812,0.3526490066225166,0.6473509933774835
52,2011-02-21,1,0,2,1,1,0,Cloudy,0.303333,0.284075,0.605,0.307846,195,912,1107,0.17615176151761516,0.8238482384823849
53,2011-02-22,1,0,2,0,2,1,Clear,0.182222,0.186033,0.577778,0.195683,74,1376,1450,0.05103448275862069,0.9489655172413793
54,2011-02-23,1,0,2,0,3,1,Clear,0.221739,0.245717,0.423043,0.094113,139,1778,1917,0.07250912884715702,0.927490871152843
55,2011-02-24,1,0,2,0,4,1,Cloudy,0.295652,0.289191,0.697391,0.250496,100,1707,1807,0.05534034311012728,0.9446596568898727
56,2011-02-25,1,0,2,0,5,1,Cloudy,0.364348,0.350461,0.712174,0.346539,120,1341,1461,0.08213552361396304,0.917864476386037
57,2011-02-26,1,0,2,0,6,0,Clear,0.2825,0.282192,0.537917,0.186571,424,1545,1969,0.21533773489080751,0.7846622651091925
58,2011-02-27,1,0,2,0,0,0,Clear,0.343478,0.351109,0.68,0.125248,694,1708,2402,0.28892589508742716,0.7110741049125728
59,2011-02-28,1,0,2,0,1,1,Cloudy,0.407273,0.400118,0.876364,0.289686,81,1365,1446,0.056016597510373446,0.9439834024896265
60,2011-03-01,1,0,3,0,2,1,Clear,0.266667,0.263879,0.535,0.216425,137,1714,1851,0.07401404646137223,0.9259859535386278
61,2011-03-02,1,0,3,0,3,1,Clear,0.335,0.320071,0.449583,0.307833,231,1903,2134,0.10824742268041238,0.8917525773195877
62,2011-03-03,1,0,3,0,4,1,Clear,0.198333,0.200133,0.318333,0.225754,123,1562,1685,0.07299703264094956,0.9270029673590504
63,2011-03-04,1,0,3,0,5,1,Cloudy,0.261667,0.255679,0.610417,0.203346,214,1730,1944,0.11008230452674897,0.8899176954732511
64,2011-03-05,1,0,3,0,6,0,Cloudy,0.384167,0.378779,0.789167,0.251871,640,1437,2077,0.30813673567645644,0.6918632643235436
65,2011-03-06,1,0,3,0,0,0,Cloudy,0.376522,0.366252,0.948261,0.343287,114,491,605,0.1884297520661157,0.8115702479338843
66,2011-03-07,1,0,3,0,1,1,Clear,0.261739,0.238461,0.551304,0.341352,244,1628,1872,0.13034188034188035,0.8696581196581197
67,2011-03-08,1,0,3,0,2,1,Clear,0.2925,0.3024,0.420833,0.12065,316,1817,2133,0.14814814814814814,0.8518518518518519
68,2011-03-09,1,0,3,0,3,1,Cloudy,0.295833,0.286608,0.775417,0.22015,191,1700,1891,0.10100475938656796,0.8989952406134321
69,2011-03-10,1,0,3,0,4,1,Drizzling,0.389091,0.385668,0.0,0.261877,46,577,623,0.0738362760834671,0.9261637239165329
70,2011-03-11,1,0,3,0,5,1,Cloudy,0.316522,0.305,0.649565,0.23297,247,1730,1977,0.12493677288821446,0.8750632271117855
71,2011-03-12,1,0,3,0,6,0,Clear,0.329167,0.32575,0.594583,0.220775,724,1408,2132,0.3395872420262664,0.6604127579737336
72,2011-03-13,1,0,3,0,0,0,Clear,0.384348,0.380091,0.527391,0.270604,982,1435,2417,0.4062887877534133,0.5937112122465866
73,2011-03-14,1,0,3,0,1,1,Clear,0.325217,0.332,0.496957,0.136926,359,1687,2046,0.17546432062561096,0.8245356793743891
74,2011-03-15,1,0,3,0,2,1,Cloudy,0.317391,0.318178,0.655652,0.184309,289,1767,2056,0.14056420233463035,0.8594357976653697
75,2011-03-16,1,0,3,0,3,1,Cloudy,0.365217,0.36693,0.776522,0.203117,321,1871,2192,0.14644160583941607,0.853558394160584
76,2011-03-17,1,0,3,0,4,1,Clear,0.415,0.410333,0.602917,0.209579,424,2320,2744,0.15451895043731778,0.8454810495626822
77,2011-03-18,1,0,3,0,5,1,Clear,0.54,0.527009,0.525217,0.231017,884,2355,3239,0.27292374189564683,0.7270762581043532
78,2011-03-19,1,0,3,0,6,0,Clear,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,0.45684953480911134,0.5431504651908887
79,2011-03-20,1,0,3,0,0,0,Clear,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,0.4237150951031971,0.576284904896803
80,2011-03-21,2,0,3,0,1,1,Cloudy,0.430435,0.409735,0.737391,0.288783,401,1676,2077,0.19306692344727974,0.8069330765527203
81,2011-03-22,2,0,3,0,2,1,Clear,0.441667,0.440642,0.624583,0.22575,460,2243,2703,0.1701812800591935,0.8298187199408065
82,2011-03-23,2,0,3,0,3,1,Cloudy,0.346957,0.337939,0.839565,0.234261,203,1918,2121,0.09570957095709572,0.9042904290429042
83,2011-03-24,2,0,3,0,4,1,Cloudy,0.285,0.270833,0.805833,0.243787,166,1699,1865,0.08900804289544235,0.9109919571045576
84,2011-03-25,2,0,3,0,5,1,Clear,0.264167,0.256312,0.495,0.230725,300,1910,2210,0.13574660633484162,0.8642533936651584
85,2011-03-26,2,0,3,0,6,0,Clear,0.265833,0.257571,0.394167,0.209571,981,1515,2496,0.39302884615384615,0.6069711538461539
86,2011-03-27,2,0,3,0,0,0,Cloudy,0.253043,0.250339,0.493913,0.1843,472,1221,1693,0.27879503839338454,0.7212049616066155
87,2011-03-28,2,0,3,0,1,1,Clear,0.264348,0.257574,0.302174,0.212204,222,1806,2028,0.10946745562130178,0.8905325443786982
88,2011-03-29,2,0,3,0,2,1,Clear,0.3025,0.292908,0.314167,0.226996,317,2108,2425,0.13072164948453607,0.8692783505154639
89,2011-03-30,2,0,3,0,3,1,Cloudy,0.3,0.29735,0.646667,0.172888,168,1368,1536,0.109375,0.890625
90,2011-03-31,2,0,3,0,4,1,Drizzling,0.268333,0.257575,0.918333,0.217646,179,1506,1685,0.10623145400593471,0.8937685459940653
91,2011-04-01,2,0,4,0,5,1,Cloudy,0.3,0.283454,0.68625,0.258708,307,1920,2227,0.13785361472833407,0.8621463852716659
92,2011-04-02,2,0,4,0,6,0,Cloudy,0.315,0.315637,0.65375,0.197146,898,1354,2252,0.3987566607460036,0.6012433392539964
93,2011-04-03,2,0,4,0,0,0,Clear,0.378333,0.378767,0.48,0.182213,1651,1598,3249,0.5081563558017852,0.49184364419821486
94,2011-04-04,2,0,4,0,1,1,Clear,0.573333,0.542929,0.42625,0.385571,734,2381,3115,0.23563402889245585,0.7643659711075441
95,2011-04-05,2,0,4,0,2,1,Cloudy,0.414167,0.39835,0.642083,0.388067,167,1628,1795,0.09303621169916435,0.9069637883008357
96,2011-04-06,2,0,4,0,3,1,Clear,0.390833,0.387608,0.470833,0.263063,413,2395,2808,0.14707977207977208,0.8529202279202279
97,2011-04-07,2,0,4,0,4,1,Clear,0.4375,0.433696,0.602917,0.162312,571,2570,3141,0.18178923909582936,0.8182107609041707
98,2011-04-08,2,0,4,0,5,1,Cloudy,0.335833,0.324479,0.83625,0.226992,172,1299,1471,0.11692726036709722,0.8830727396329028
99,2011-04-09,2,0,4,0,6,0,Cloudy,0.3425,0.341529,0.8775,0.133083,879,1576,2455,0.35804480651731163,0.6419551934826884
100,2011-04-10,2,0,4,0,0,0,Cloudy,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,0.41036269430051814,0.5896373056994819
101,2011-04-11,2,0,4,0,1,1,Cloudy,0.595652,0.565217,0.716956,0.324474,855,2493,3348,0.2553763440860215,0.7446236559139785
102,2011-04-12,2,0,4,0,2,1,Cloudy,0.5025,0.493054,0.739167,0.274879,257,1777,2034,0.1263520157325467,0.8736479842674533
103,2011-04-13,2,0,4,0,3,1,Cloudy,0.4125,0.417283,0.819167,0.250617,209,1953,2162,0.09666975023126735,0.9033302497687327
104,2011-04-14,2,0,4,0,4,1,Clear,0.4675,0.462742,0.540417,0.1107,529,2738,3267,0.16192225283134373,0.8380777471686562
105,2011-04-15,2,0,4,1,5,0,Clear,0.446667,0.441913,0.67125,0.226375,642,2484,3126,0.2053742802303263,0.7946257197696737
106,2011-04-16,2,0,4,0,6,0,Drizzling,0.430833,0.425492,0.888333,0.340808,121,674,795,0.15220125786163521,0.8477987421383648
107,2011-04-17,2,0,4,0,0,0,Clear,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,0.41613247863247865,0.5838675213675214
108,2011-04-18,2,0,4,0,1,1,Clear,0.5125,0.503146,0.5425,0.163567,669,2760,3429,0.19510061242344706,0.8048993875765529
109,2011-04-19,2,0,4,0,2,1,Cloudy,0.505833,0.489258,0.665833,0.157971,409,2795,3204,0.12765293383270912,0.8723470661672909
110,2011-04-20,2,0,4,0,3,1,Clear,0.595,0.564392,0.614167,0.241925,613,3331,3944,0.15542596348884383,0.8445740365111561
111,2011-04-21,2,0,4,0,4,1,Clear,0.459167,0.453892,0.407083,0.325258,745,3444,4189,0.1778467414657436,0.8221532585342564
112,2011-04-22,2,0,4,0,5,1,Cloudy,0.336667,0.321954,0.729583,0.219521,177,1506,1683,0.1051693404634581,0.8948306595365418
113,2011-04-23,2,0,4,0,6,0,Cloudy,0.46,0.450121,0.887917,0.230725,1462,2574,4036,0.3622398414271556,0.6377601585728444
114,2011-04-24,2,0,4,0,0,0,Cloudy,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,0.408017179670723,0.5919828203292771
115,2011-04-25,2,0,4,0,1,1,Clear,0.606667,0.5745,0.776667,0.185333,773,3300,4073,0.18978639823226123,0.8102136017677388
116,2011-04-26,2,0,4,0,2,1,Clear,0.631667,0.594083,0.729167,0.3265,678,3722,4400,0.15409090909090908,0.8459090909090909
117,2011-04-27,2,0,4,0,3,1,Cloudy,0.62,0.575142,0.835417,0.3122,547,3325,3872,0.1412706611570248,0.8587293388429752
118,2011-04-28,2,0,4,0,4,1,Cloudy,0.6175,0.578929,0.700833,0.320908,569,3489,4058,0.1402168555938886,0.8597831444061114
119,2011-04-29,2,0,4,0,5,1,Clear,0.51,0.497463,0.457083,0.240063,878,3717,4595,0.19107725788900978,0.8089227421109902
120,2011-04-30,2,0,4,0,6,0,Clear,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,0.3699171686746988,0.6300828313253012
121,2011-05-01,2,0,5,0,0,0,Cloudy,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,0.339600119367353,0.660399880632647
122,2011-05-02,2,0,5,0,1,1,Cloudy,0.549167,0.532833,0.73,0.183454,847,3554,4401,0.19245625994092252,0.8075437400590775
123,2011-05-03,2,0,5,0,2,1,Cloudy,0.616667,0.582079,0.697083,0.342667,603,3848,4451,0.1354751741181757,0.8645248258818243
124,2011-05-04,2,0,5,0,3,1,Cloudy,0.414167,0.40465,0.737083,0.328996,255,2378,2633,0.09684770224078998,0.90315229775921
125,2011-05-05,2,0,5,0,4,1,Clear,0.459167,0.441917,0.444167,0.295392,614,3819,4433,0.1385066546356869,0.8614933453643131
126,2011-05-06,2,0,5,0,5,1,Clear,0.479167,0.474117,0.59,0.228246,894,3714,4608,0.19401041666666666,0.8059895833333334
127,2011-05-07,2,0,5,0,6,0,Clear,0.52,0.512621,0.54125,0.16045,1612,3102,4714,0.3419601187950785,0.6580398812049215
128,2011-05-08,2,0,5,0,0,0,Clear,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,0.32333256404338795,0.676667435956612
129,2011-05-09,2,0,5,0,1,1,Clear,0.5325,0.525246,0.58875,0.176,664,3698,4362,0.1522237505731316,0.8477762494268684
130,2011-05-10,2,0,5,0,2,1,Clear,0.5325,0.522721,0.489167,0.115671,694,4109,4803,0.14449302519258797,0.855506974807412
131,2011-05-11,2,0,5,0,3,1,Clear,0.5425,0.5284,0.632917,0.120642,550,3632,4182,0.13151602104256338,0.8684839789574367
132,2011-05-12,2,0,5,0,4,1,Clear,0.535,0.523363,0.7475,0.189667,695,4169,4864,0.14288651315789475,0.8571134868421053
133,2011-05-13,2,0,5,0,5,1,Cloudy,0.5125,0.4943,0.863333,0.179725,692,3413,4105,0.16857490864799027,0.8314250913520097
134,2011-05-14,2,0,5,0,6,0,Cloudy,0.520833,0.500629,0.9225,0.13495,902,2507,3409,0.26459372249926666,0.7354062775007334
135,2011-05-15,2,0,5,0,0,0,Cloudy,0.5625,0.536,0.867083,0.152979,1582,2971,4553,0.3474632110696244,0.6525367889303756
136,2011-05-16,2,0,5,0,1,1,Clear,0.5775,0.550512,0.787917,0.126871,773,3185,3958,0.19530065689742293,0.8046993431025771
137,2011-05-17,2,0,5,0,2,1,Cloudy,0.561667,0.538529,0.837917,0.277354,678,3445,4123,0.16444336648071792,0.8355566335192821
138,2011-05-18,2,0,5,0,3,1,Cloudy,0.55,0.527158,0.87,0.201492,536,3319,3855,0.1390402075226978,0.8609597924773023
139,2011-05-19,2,0,5,0,4,1,Cloudy,0.530833,0.510742,0.829583,0.108213,735,3840,4575,0.16065573770491803,0.839344262295082
140,2011-05-20,2,0,5,0,5,1,Clear,0.536667,0.529042,0.719583,0.125013,909,4008,4917,0.18486882245271508,0.8151311775472849
141,2011-05-21,2,0,5,0,6,0,Clear,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,0.38897502153316105,0.6110249784668389
142,2011-05-22,2,0,5,0,0,0,Clear,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,0.3381974248927039,0.6618025751072961
143,2011-05-23,2,0,5,0,1,1,Cloudy,0.631667,0.590296,0.81,0.233842,836,3438,4274,0.19560131024801122,0.8043986897519888
144,2011-05-24,2,0,5,0,2,1,Cloudy,0.66,0.604813,0.740833,0.207092,659,3833,4492,0.1467052537845058,0.8532947462154942
145,2011-05-25,2,0,5,0,3,1,Clear,0.660833,0.615542,0.69625,0.154233,740,4238,4978,0.14865407794294896,0.8513459220570511
146,2011-05-26,2,0,5,0,4,1,Clear,0.708333,0.654688,0.6775,0.199642,758,3919,4677,0.16206970280094077,0.8379302971990592
147,2011-05-27,2,0,5,0,5,1,Clear,0.681667,0.637008,0.65375,0.240679,871,3808,4679,0.1861508869416542,0.8138491130583458
148,2011-05-28,2,0,5,0,6,0,Clear,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,0.42055485498108447,0.5794451450189155
149,2011-05-29,2,0,5,0,0,0,Clear,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,0.4918546365914787,0.5081453634085213
150,2011-05-30,2,0,5,1,1,0,Clear,0.733333,0.671092,0.685,0.131225,1549,2549,4098,0.37798926305514885,0.6220107369448511
151,2011-05-31,2,0,5,0,2,1,Clear,0.775,0.725383,0.636667,0.111329,673,3309,3982,0.16901054746358612,0.8309894525364139
152,2011-06-01,2,0,6,0,3,1,Cloudy,0.764167,0.720967,0.677083,0.207092,513,3461,3974,0.12908907901358832,0.8709109209864117
153,2011-06-02,2,0,6,0,4,1,Clear,0.715,0.643942,0.305,0.292287,736,4232,4968,0.14814814814814814,0.8518518518518519
154,2011-06-03,2,0,6,0,5,1,Clear,0.62,0.587133,0.354167,0.253121,898,4414,5312,0.1690512048192771,0.8309487951807228
155,2011-06-04,2,0,6,0,6,0,Clear,0.635,0.594696,0.45625,0.123142,1869,3473,5342,0.34986896293523023,0.6501310370647697
156,2011-06-05,2,0,6,0,0,0,Cloudy,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,0.3434569914390542,0.6565430085609458
157,2011-06-06,2,0,6,0,1,1,Clear,0.678333,0.621858,0.6,0.121896,673,3875,4548,0.14797713280562885,0.8520228671943711
158,2011-06-07,2,0,6,0,2,1,Clear,0.7075,0.65595,0.597917,0.187808,763,4070,4833,0.1578729567556383,0.8421270432443617
159,2011-06-08,2,0,6,0,3,1,Clear,0.775833,0.727279,0.622083,0.136817,676,3725,4401,0.15360145421495114,0.8463985457850488
160,2011-06-09,2,0,6,0,4,1,Cloudy,0.808333,0.757579,0.568333,0.149883,563,3352,3915,0.1438058748403576,0.8561941251596424
161,2011-06-10,2,0,6,0,5,1,Clear,0.755,0.703292,0.605,0.140554,815,3771,4586,0.17771478412559966,0.8222852158744004
162,2011-06-11,2,0,6,0,6,0,Clear,0.725,0.678038,0.654583,0.15485,1729,3237,4966,0.3481675392670157,0.6518324607329843
163,2011-06-12,2,0,6,0,0,0,Clear,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,0.3289237668161435,0.6710762331838565
164,2011-06-13,2,0,6,0,1,1,Clear,0.635,0.601654,0.494583,0.30535,863,4157,5020,0.17191235059760956,0.8280876494023904
165,2011-06-14,2,0,6,0,2,1,Clear,0.604167,0.591546,0.507083,0.269283,727,4164,4891,0.14864035984461255,0.8513596401553875
166,2011-06-15,2,0,6,0,3,1,Clear,0.626667,0.587754,0.471667,0.167912,769,4411,5180,0.14845559845559844,0.8515444015444016
167,2011-06-16,2,0,6,0,4,1,Cloudy,0.628333,0.595346,0.688333,0.206471,545,3222,3767,0.14467746217148925,0.8553225378285108
168,2011-06-17,2,0,6,0,5,1,Clear,0.649167,0.600383,0.735833,0.143029,863,3981,4844,0.17815854665565647,0.8218414533443436
169,2011-06-18,2,0,6,0,6,0,Clear,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,0.352998632545419,0.6470013674545809
170,2011-06-19,2,0,6,0,0,0,Cloudy,0.699167,0.645846,0.666667,0.102,1639,3105,4744,0.34548903878583476,0.6545109612141653
171,2011-06-20,2,0,6,0,1,1,Cloudy,0.635,0.595346,0.74625,0.155475,699,3311,4010,0.1743142144638404,0.8256857855361596
172,2011-06-21,3,0,6,0,2,1,Cloudy,0.680833,0.637646,0.770417,0.171025,774,4061,4835,0.16008273009307136,0.8399172699069286
173,2011-06-22,3,0,6,0,3,1,Clear,0.733333,0.693829,0.7075,0.172262,661,3846,4507,0.14666074994453074,0.8533392500554693
174,2011-06-23,3,0,6,0,4,1,Cloudy,0.728333,0.693833,0.703333,0.238804,746,4044,4790,0.155741127348643,0.844258872651357
175,2011-06-24,3,0,6,0,5,1,Clear,0.724167,0.656583,0.573333,0.222025,969,4022,4991,0.1941494690442797,0.8058505309557203
176,2011-06-25,3,0,6,0,6,0,Clear,0.695,0.643313,0.483333,0.209571,1782,3420,5202,0.34256055363321797,0.657439446366782
177,2011-06-26,3,0,6,0,0,0,Clear,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,0.36192271442035817,0.6380772855796418
178,2011-06-27,3,0,6,0,1,1,Cloudy,0.6825,0.637004,0.658333,0.107588,854,3854,4708,0.18139337298215802,0.8186066270178419
179,2011-06-28,3,0,6,0,2,1,Clear,0.744167,0.692558,0.634167,0.144283,732,3916,4648,0.15748709122203097,0.842512908777969
180,2011-06-29,3,0,6,0,3,1,Clear,0.728333,0.654688,0.497917,0.261821,848,4377,5225,0.16229665071770336,0.8377033492822966
181,2011-06-30,3,0,6,0,4,1,Clear,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,0.18621940163191297,0.813780598368087
182,2011-07-01,3,0,7,0,5,1,Clear,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,0.23237597911227154,0.7676240208877284
183,2011-07-02,3,0,7,0,6,0,Clear,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,0.4305528423520219,0.5694471576479782
